count;area;electorate;valid_votes;remain;leave;pct_crimes;pct_voted;pct_remain;pct_leave
362544;Birmingham;707293;450702;223451;227251;0,5125796522798897;0,6372210667997562;0,4957843541852488;0,5042156458147512
329640;Leeds;543033;387337;194863;192474;0,6070349315787439;0,7132844596921366;0,5030838778634625;0,4969161221365374
111417;Cornwall;419755;323205;140540;182665;0,26543340758299483;0,7699848721277889;0,4348323819247846;0,5651676180752154
234960;Sheffield;396406;266753;130735;136018;0,5927256398742703;0,6729287649531036;0,49009758090818095;0,509902419091819
174106;County Durham;389507;267398;113521;153877;0,4469906830942704;0,6865037085341213;0,42453945055684783;0,5754605494431522
100939;Wiltshire;366555;288895;137258;151637;0,27537204512283286;0,7881354776227305;0,47511379566970696;0,524886204330293
237618;Bradford;342817;228488;104575;123913;0,6931336543987026;0,6665013695353498;0,45768267917789995;0,5423173208221
329886;Manchester;338064;201814;121823;79991;0,9758093142126935;0,5969698045340527;0,6036399853330294;0,3963600146669706
216437;Liverpool;317924;203554;118453;85101;0,680782199519382;0,6402599363369862;0,5819242068443754;0,41807579315562454
183605;Bristol, City of;312465;228445;141027;87418;0,5876018114028771;0,7311058838589922;0,6173345881940948;0,38266541180590513
146398;Kirklees;307081;217240;98485;118755;0,4767406645152256;0,7074354974746077;0,4533465291843123;0,5466534708156877
90094;Cheshire East;285957;221125;107962;113163;0,31506135537860586;0,773280598131887;0,48823968343697005;0,51176031656303
63397;East Riding of Yorkshire;266047;198915;78779;120136;0,23829248215540863;0,7476686450138509;0,3960435361837971;0,6039564638162029
89620;Cheshire West and Chester;259878;193537;95455;98082;0,34485412385811803;0,7447225236457107;0,49321318404232783;0,5067868159576722
127669;Wakefield;246096;175042;58877;116165;0,5187772251479098;0,7112752746895521;0,33635927377429414;0,6636407262257058
111619;Croydon;245349;171134;92913;78221;0,4549396981442761;0,6975125229774729;0,5429254268584852;0,45707457314151484
76072;Dudley;244516;175226;56780;118446;0,31111256523090514;0,7166238610152301;0,3240386700603792;0,6759613299396209
144014;Cardiff;243689;169604;101788;67816;0,5909745618390654;0,6959854568733098;0,6001509398363246;0,3998490601636754
92834;Wirral;242568;172000;88931;83069;0,38271330101249956;0,7090795158471027;0,5170406976744186;0,4829593023255814
97406;Northumberland;240496;178721;82022;96699;0,40502128933537357;0,7431350209566895;0,45893879286709455;0,5410612071329055
74430;Shropshire;236788;183153;78987;104166;0,31433180735510247;0,7734893660151697;0,4312623871844851;0,5687376128155149
110105;Wigan;235982;163273;58942;104331;0,4665821969472248;0,6918875168445051;0,36100273774598374;0,6389972622540163
80832;Bromley;231473;182432;92398;90034;0,3492070349457604;0,7881351172706968;0,5064791264690405;0,49352087353095947
98844;Barnet;223467;161033;100210;60823;0,44232034260092096;0,7206119919272197;0,6222948091384995;0,37770519086150045
92601;Sandwell;221429;147254;49004;98250;0,4181972551020869;0,6650167773868825;0,33278552704850123;0,6672144729514987
92836;Coventry;221389;153064;67967;85097;0,4193342939351097;0,691380330549395;0,444043014686667;0,5559569853133329
93588;Stockport;221162;163489;85559;77930;0,42316491983252097;0,7392273537045243;0,5233318449559298;0,47666815504407023
90449;Wandsworth;219521;157884;118463;39421;0,41202891750675336;0,7192204846005621;0,7503166882014644;0,24968331179853565
139474;Doncaster;217432;151182;46922;104260;0,6414603186283527;0,6953070385223886;0,3103676363588258;0,6896323636411742
133334;Leicester;213819;138972;70980;67992;0,6235834981923963;0,6499515945729799;0,5107503669803989;0,48924963301960106
109293;Ealing;212991;149041;90024;59017;0,5131343577897658;0,6997525717049077;0,6040217121463222;0,39597828785367783
132567;Lambeth;210800;141924;111584;30340;0,6288757115749526;0,6732637571157495;0,7862236126377498;0,21377638736225021
55896;South Gloucestershire;207793;158333;74928;83405;0,2689984744433162;0,7619746574716184;0,4732304699588841;0,5267695300411159
117799;Sunderland;207221;134324;51930;82394;0,5684703770370764;0,6482161556985054;0,38660254310473186;0,6133974568952681
80639;Sefton;206298;147878;76702;71176;0,390885999864274;0,7168174194611678;0,5186843208590866;0,48131567914091344
67760;Central Bedfordshire;204004;158804;69670;89134;0,3321503499931374;0,7784357169467265;0,4387169088939825;0,5612830911060175
95150;Enfield;198387;136906;76425;60481;0,4796181201389204;0,6900956211848559;0,5582297342702293;0,4417702657297708
106501;Brighton and Hove;198293;146675;100648;46027;0,5370890550851518;0,7396882391208969;0,6861973751491393;0,31380262485086075
101690;Rotherham;197623;137387;44115;93272;0,5145656123022118;0,6951974213527777;0,32110024965972034;0,6788997503402796
92294;Lewisham;197514;124473;86955;37518;0,4672782688822058;0,6301983656854704;0,698585235352245;0,30141476464775496
115504;Bolton;197109;138080;57589;80491;0,5859904925701008;0,7005261048455423;0,41706981460023174;0,5829301853997683
122519;Southwark;195875;129502;94293;35209;0,6254958519463943;0,6611461391193363;0,7281200290343006;0,2718799709656994
157730;Nottingham;195394;120661;59318;61343;0,8072407545779298;0,6175266384842932;0,49160872195655597;0,5083912780434441
79442;Walsall;194729;135579;43572;92007;0,4079618341387261;0,69624452444166;0,32137720443431506;0,6786227955656849
102416;Hillingdon;193033;133022;58040;74982;0,5305621318634638;0,6891153326115224;0,43631880440829335;0,5636811955917066
103378;Medway;192524;138886;49889;88997;0,5369616255635661;0,7213957740333673;0,3592082715320479;0,6407917284679522
167806;Newcastle upon Tyne;190735;129003;65405;63598;0,8797860906493302;0,6763467638346397;0,5070037130919436;0,4929962869080564
82552;Redbridge;189843;128233;69213;59020;0,4348435285999484;0,6754686767486818;0,5397440596414339;0,46025594035856604
87103;Plymouth;186989;133455;53458;79997;0,4658188449587944;0,7137050842562932;0,4005694803491814;0,5994305196508186
110271;Brent;186793;121404;72523;48881;0,5903379676968623;0,6499387021997612;0,5973691146914435;0,40263088530855656
66434;Havering;183082;139086;42201;96885;0,36286472728067204;0,7596923782785856;0,30341659117380615;0,6965834088261939
122287;Kingston upon Hull, City of;180230;113355;36709;76646;0,6785052433002274;0,6289463463352383;0,32384103039124873;0,6761589696087512
117350;Stoke-on-Trent;179010;117590;36027;81563;0,6555499692754595;0,6568906764985196;0,30637809337528704;0,693621906624713
70642;Milton Keynes;177211;130456;63393;67063;0,3986321390884313;0,7361619764010134;0,48593395474336176;0,5140660452566382
123042;Newham;176985;104699;55328;49371;0,6952114585981863;0,5915699070542701;0,52844821822558;0,47155178177442003
90846;Barnsley;175809;122909;38951;83958;0,5167312253638893;0,6991052790243958;0,31690925806897785;0,6830907419310221
75780;Wolverhampton;174760;117936;44138;73798;0,4336232547493706;0,674845502403296;0,37425383258716594;0,6257461674128341
96394;Salford;173668;109815;47430;62385;0,5550475620148789;0,632327199023424;0,4319082092610299;0,5680917907389701
74008;Swansea;172941;120243;58307;61936;0,42793785163726356;0,6952833625340434;0,48490972447460556;0,5150902755253944
66816;Rhondda Cynon Taf;172890;116563;53973;62590;0,3864653826132223;0,6742032506217827;0,4630371558727898;0,5369628441272102
105394;Derby;171246;120655;51612;69043;0,6154537916214101;0,7045712016631045;0,4277651154117111;0,572234884588289
54174;Bexley;170779;128489;47603;80886;0,31721698803717086;0,7523700220753137;0,37048307637229644;0,6295169236277035
88486;Greenwich;168967;117365;65248;52117;0,5236880574313327;0,6946030881769814;0,5559408682315852;0,44405913176841477
91353;Tameside;168047;110947;43118;67829;0,54361577415842;0,6602141067677495;0,388636015394738;0,611363984605262
132355;Tower Hamlets;167820;108235;73011;35224;0,7886723870813968;0,64494696698844;0,6745599852173512;0,3254400147826489
63103;Trafford;165294;125311;72293;53018;0,3817621934250487;0,7581097922489625;0,5769086512756263;0,42309134872437376
89969;Hounslow;165050;115076;58755;56321;0,5451014843986671;0,6972190245380188;0,5105756195905314;0,4894243804094685
110462;Hackney;163284;106266;83398;22868;0,6765022904877391;0,6508047328580877;0,7848041706660644;0,2151958293339356
85301;Waltham Forest;162983;108551;64156;44395;0,5233736033819478;0,6660265181031151;0,5910217317205737;0,40897826827942624
53879;Harrow;162397;117225;64042;53183;0,33177337019772535;0,7218421522565072;0,5463169119215184;0,45368308807848157
48763;North Somerset;160860;124548;59572;64976;0,30313937585478057;0,7742633345766505;0,4783055528792112;0,5216944471207887
52405;Solihull;160425;121950;53466;68484;0,3266635499454574;0,7601683029453016;0,43842558425584255;0,5615744157441575
116518;Southampton;158171;107665;49738;57927;0,7366584266395231;0,6806873573537501;0,46196999953559653;0,5380300004644035
102476;Oldham;158084;107403;42034;65369;0,6482376458085575;0,679404620328433;0,39136709402903086;0,6086329059709692
59439;Warrington;157042;115144;52657;62487;0,3784911042905719;0,7332051298378778;0,45731431946084905;0,542685680539151
74857;North Tyneside;156993;113462;52873;60589;0,4768174377201531;0,7227201212792927;0,4659974264511466;0,5340025735488534
93742;Rochdale;156621;103231;41217;62014;0,5985276559337509;0,6591134011403323;0,3992695992482878;0,6007304007517121
61743;York;155157;109600;63617;45983;0,39793886192695144;0,7063812783180907;0,5804470802919708;0,4195529197080292
108615;Haringey;150098;105846;79991;25855;0,7236272302095964;0,7051792828685259;0,7557300228634053;0,24426997713659468
76412;Calderdale;149195;105925;46950;58975;0,5121619357217065;0,7099768759006669;0,44323814019353314;0,5567618598064669
75731;Swindon;148960;112965;51220;61745;0,5083982277121375;0,7583579484425349;0,4534147744876732;0,5465852255123268
79441;Gateshead;145866;102958;44429;58529;0,5446162916649527;0,7058396062139224;0,43152547640785566;0,5684745235921443
132939;Camden;145425;95133;71295;23838;0,9141413099535843;0,6541722537390408;0,7494244899246318;0,25057551007536816
99255;Northampton;144948;105259;43805;61454;0,6847628114910175;0,7261845627397412;0,41616393847556976;0,5838360615244302
107464;Islington;144514;101600;76420;25180;0,7436234551669735;0,7030460716608772;0,7521653543307086;0,24783464566929134
66006;Bury;141600;101028;46354;54674;0,46614406779661016;0,7134745762711865;0,4588232965118581;0,541176703488142
84359;Stockton-on-Tees;141486;100415;38433;61982;0,5962356699602788;0,7097168624457544;0,3827416222675895;0,6172583777324105
37400;New Forest;141061;111740;47199;64541;0,26513352379467037;0,7921395708239698;0,42240021478432077;0,5775997852156792
97231;Portsmouth;140517;98720;41384;57336;0,6919518634755937;0,7025484460954903;0,4192058346839546;0,5807941653160453
42553;Sutton;140288;106560;49319;57241;0,30332601505474455;0,7595802919708029;0,46282845345345347;0,5371715465465465
46677;Carmarthenshire;139227;103035;47654;55381;0,3352582473227176;0,740050421254498;0,4625030329499685;0,5374969670500316
49628;Herefordshire, County of;138247;108270;44148;64122;0,35898066504155607;0,783163468285026;0,4077583818232197;0,5922416181767802
41562;Bath and North East Somerset;136522;105230;60878;44352;0,30443445012525455;0,7707915207805336;0,578523234818968;0,421476765181032
50153;Merton;136352;100100;63003;37097;0,36782005397793943;0,7341293123679887;0,6294005994005994;0,3705994005994006
33032;Aylesbury Vale;136235;106833;52877;53956;0,2424633904650053;0,7841817447792417;0,4949500622466841;0,505049937753316
61641;St, Helens;136096;93679;39322;54357;0,452922936750529;0,6883302962614625;0,41975255927155497;0,580247440728445
41494;Charnwood;133780;94172;43500;50672;0,3101659440873075;0,703931828374944;0,4619207407722041;0,538079259227796
67194;Basildon;132771;97999;30748;67251;0,5060894321802201;0,7381054597766078;0,31375830365615975;0,6862416963438402
83148;Bournemouth;132752;91926;41473;50453;0,6263408460889478;0,6924641436663854;0,45115636490220395;0,5488436350977961
46390;Richmond upon Thames;132632;108806;75396;33410;0,34976476265154716;0,8203600940949394;0,6929397275885522;0,3070602724114479
50707;Caerphilly;130801;92473;39178;53295;0,38766523191718716;0,7069747173186749;0,42366961167043354;0,5763303883295665
48882;Chelmsford;129971;100794;47545;53249;0,3760992836863608;0,7755114602488248;0,4717046649602159;0,5282953350397841
69769;Southend-on-Sea;128856;93870;39348;54522;0,5414493698392003;0,7284876140808344;0,41917545541706613;0,5808245445829339
45675;Basingstoke and Deane;128677;100328;48257;52071;0,35495853959915136;0,7796886778522968;0,4809923451080456;0,5190076548919544
37629;Huntingdonshire;128486;99927;45729;54198;0,29286459225129585;0,7777267562224678;0,45762406556786456;0,5423759344321355
79324;Luton;127612;84481;36708;47773;0,6216029840453876;0,662014544086763;0,43451190208449236;0,5654880979155076
58782;Colchester;127520;95719;44414;51305;0,4609629861982434;0,7506195106649938;0,4640040117427052;0,5359959882572948
33813;South Somerset;126495;99467;42527;56940;0,2673070081821416;0,7863314755523934;0,4275488352921069;0,572451164707893
32040;Wycombe;125260;94790;49261;45529;0,25578796104103463;0,7567459683857576;0,5196856208460808;0,48031437915391917
66433;Telford and Wrekin;124338;89603;32954;56649;0,5342936190062572;0,7206405121523589;0,367777864580427;0,632222135419573
47846;North Lincolnshire;123611;88862;29947;58915;0,3870691119722355;0,7188842416937004;0,3370056942225023;0,6629943057774977
20663;Wokingham;121891;97501;55272;42229;0,16952030912864774;0,7999031921963066;0,5668864934718618;0,4331135065281382
23278;Wealden;121141;96892;44084;52808;0,19215624767832526;0,7998282992545876;0,45498080336869917;0,5450191966313008
84343;Peterborough;120892;87392;34176;53216;0,6976723025510373;0,7228931608377726;0,39106554375686564;0,6089344562431344
211034;Westminster;120524;78196;53928;24268;1,7509707610102552;0,6488002389565564;0,6896516445854007;0,3103483554145992
36166;Harrogate;119987;94585;48211;46374;0,30141598673189596;0,7882937318209473;0,5097108420996986;0,4902891579003013
55001;Bedford;119530;86066;41497;44569;0,4601438969296411;0,7200368108424663;0,4821532312411405;0,5178467687588595
48005;Maidstone;117298;89127;36762;52365;0,4092567648212246;0,7598339272621869;0,4124676024100441;0,5875323975899559
39426;Arun;117138;91129;34193;56936;0,33657737028120677;0,7779627447967354;0,3752153540585324;0,6247846459414675
28313;West Berkshire;116757;93277;48300;44977;0,2424950966537338;0,7988985671094667;0,5178125368526003;0,4821874631473997
63952;North East Lincolnshire;116302;78982;23797;55185;0,5498787639077574;0,6791112792557308;0,30129649793623864;0,6987035020637614
36121;Flintshire;115964;86797;37867;48930;0,3114845986685523;0,7484822876064986;0,43627083885387746;0,5637291611461226
58750;South Tyneside;115893;79079;30014;49065;0,5069331193428421;0,6823449216087253;0,3795445061267846;0,6204554938732154
66757;Barking and Dagenham;115812;73880;27750;46130;0,5764255862950298;0,6379304389873243;0,37560909583107743;0,6243909041689226
79179;Hammersmith and Fulham;114863;80242;56188;24054;0,6893342503678295;0,6985887535585872;0,700231798808604;0,299768201191396
25340;South Cambridgeshire;114830;93189;56128;37061;0,22067403988504747;0,8115387964817556;0,6023028469025314;0,39769715309746856
33509;King's Lynn and West Norfolk;113884;85080;28587;56493;0,294237996557901;0,7470759720417267;0,3360014104372355;0,6639985895627645
40887;Poole;113421;85448;35741;49707;0,3604887983706721;0,7533701871787412;0,4182777829791218;0,5817222170208782
34441;Braintree;112562;86236;33523;52713;0,3059735967733338;0,766120004975036;0,38873556287397376;0,6112644371260263
21874;East Devon;112527;88783;40743;48040;0,194388902219023;0,7889928639348779;0,458905421082865;0,5410945789171351
46784;Knowsley;111647;70903;34345;36558;0,4190349942228631;0,6350640859136385;0,48439417231993004;0,5156058276800699
49245;Tendring;111167;82657;25210;57447;0,4429821799634784;0,7435389998830588;0,3049953421972731;0,6950046578027269
58348;Thurrock;109897;79916;22151;57765;0,5309335104688936;0,7271900051866748;0,27717853746433757;0,7228214625356625
36639;Isle of Wight;109844;79380;30207;49173;0,3335548596190962;0,7226612286515421;0,3805366591080877;0,6194633408919124
48567;Canterbury;109399;82048;40169;41879;0,4439437289189115;0,7499885739357763;0,48957927067082685;0,5104207293291732
43149;Dacorum;108965;86244;42542;43702;0,3959895379250218;0,7914835038773919;0,49327489448541345;0,5067251055145865
42349;Kingston upon Thames;108838;85270;52533;32737;0,38910123302523014;0,7834579834249067;0,6160783393925179;0,3839216606074821
25277;Mid Sussex;108416;87528;46471;41057;0,2331482438016529;0,8073347107438017;0,5309272461383786;0,46907275386162145
32008;Cherwell;108342;81836;40668;41168;0,29543482675232136;0,7553488028650016;0,49694510973165845;0,5030548902683416
34525;East Lindsey;107009;80128;23515;56613;0,3226364137595903;0,748796830173163;0,2934679512779553;0,7065320487220448
31336;East Hertfordshire;106260;85366;42372;42994;0,29489930359495575;0,8033690946734425;0,4963568633882342;0,5036431366117659
35248;Neath Port Talbot;105766;75652;32651;43001;0,33326399788211714;0,7152771211920655;0,4315946703325755;0,5684053296674245
27379;South Kesteven;105457;82471;33047;49424;0,25962240534056535;0,7820343836824488;0,4007105528003783;0,5992894471996217
65570;Newport;104977;73649;32413;41236;0,6246130104689599;0,7015727254541471;0,4401010197015574;0,5598989802984427
36892;St Albans;104859;86445;54208;32237;0,35182483144031507;0,8243927559866105;0,6270808028226039;0,372919197177396
36231;Bridgend;104492;74345;33723;40622;0,3467346782528806;0,711489874822953;0,453601452686798;0,5463985473132019
23010;Horsham;104270;85088;43785;41303;0,22067708832837826;0,8160352929893545;0,5145849003384732;0,4854150996615269
20123;South Oxfordshire;104231;84110;46245;37865;0,19306156517734646;0,8069576229720524;0,5498157175127809;0,45018428248721915
24169;Teignbridge;103740;82312;37949;44363;0,23297667245035666;0,7934451513398881;0,46103848770531636;0,5389615122946837
35143;Reigate and Banstead;103731;81161;40181;40980;0,33878975426825153;0,782417984980382;0,49507768509505795;0,504922314904942
61913;Redcar and Cleveland;103529;72714;24586;48128;0,5980256739657487;0,7023539298167664;0,3381192067552328;0,6618807932447671
26770;Powys;103270;79469;36762;42707;0,25922339498402247;0,7695264839740487;0,46259547748178537;0,5374045225182147
52663;Reading;103172;74767;43385;31382;0,5104388787655565;0,7246830535416586;0,5802693701766822;0,41973062982331777
40583;Warwick;103099;81618;47976;33642;0,39363136402874904;0,7916468636941193;0,5878115121664339;0,41218848783356615
45080;Torbay;102961;75824;27935;47889;0,43783568535659134;0,7364341838171735;0,3684189702468875;0,6315810297531125
30832;Windsor and Maidenhead;102665;81792;44086;37706;0,3003165635805776;0,7966882579262651;0,5390013693270735;0,46099863067292646
19433;South Norfolk;102395;80358;38817;41541;0,18978465745397724;0,7847844133014308;0,4830508474576271;0,5169491525423728
98185;Blackpool;102354;66927;21781;45146;0,9592688121617132;0,6538777185063602;0,3254441406308366;0,6745558593691634
49327;Swale;102209;75869;28481;47388;0,48260916357659306;0,7422927530843664;0,37539706599533407;0,6246029340046659
37664;Guildford;102209;78613;44155;34458;0,3684998385660754;0,7691397039399661;0,5616755498454454;0,43832445015455457
50901;Lancaster;100567;73041;35732;37309;0,5061401851501984;0,7262919247864608;0,4892046932544735;0,5107953067455265
63522;Blackburn with Darwen;100117;65321;28522;36799;0,6344776611364703;0,652446637434202;0,4366436521180019;0,5633563478819982
38416;Epping Forest;100016;76852;28676;48176;0,3840985442329227;0,7683970564709647;0,37313277468380784;0,6268672253161922
30639;Stafford;99612;77484;34098;43386;0,3075834236838935;0,7778580893868209;0,44006504568685145;0,5599349543131485
30143;North Hertfordshire;99316;77672;42234;35438;0,30350598090942044;0,7820693543839865;0,5437480688021423;0,4562519311978577
16403;Broadland;99254;77737;35469;42268;0,16526286094263204;0,7832127672436375;0,4562692154315191;0,5437307845684809
61714;Thanet;99108;72102;26065;46037;0,6226944343544416;0,7275093837026274;0,3615017613935813;0,6384982386064186
27996;Breckland;98989;73548;26313;47235;0,282819303154896;0,7429916455363728;0,3577663566650351;0,6422336433349649
29652;Elmbridge;98613;77003;45841;31162;0,3006905783213167;0,7808605356291767;0,5953144682674701;0,4046855317325299
48567;Wrexham;98384;70366;28822;41544;0,49364734103106195;0,7152179216132705;0,4096012278657306;0,5903987721342694
21174;Suffolk Coastal;98195;79184;37218;41966;0,21563216049697032;0,8063954376495748;0,47001919579713075;0,5299808042028693
